arm,time_s,target_timestamp_ns,source_timestamp_ns,source_index,age_ms,fx,fy,fz,tx,ty,tz,time_offset_ms
left,9.155927808,1787652119777435904,1787652119776977564,7325,0.45834,0.005762521631702795,-2.0867798794351535,28.855686400539934,-7.0313893537672385,-2.414869192855713,0.6835679677121218,-100.0
left,9.165927808,1787652119787435904,1787652119787035130,7332,0.400774,0.019189986185116043,-2.485592607722884,28.89834277708529,-7.022467408559228,-2.4106077386318443,0.6801161578514507,-90.0
left,9.175927808,1787652119797435904,1787652119797137494,7340,0.29841,-0.04034146318015952,-2.0677016412124174,29.320930571832626,-7.023116411626633,-2.415257868050082,0.6938179595645833,-80.0
left,9.185927808,1787652119807435904,1787652119807009083,7348,0.426821,-0.01974817139443643,-2.3857019515188225,29.26148720225041,-7.0140443159444406,-2.4079855880254666,0.6765789744527291,-70.0
left,9.195927808,1787652119817435904,1787652119817046536,7356,0.389368,-0.060686488842741644,-2.3028269147928295,29.19658256300735,-7.009909382114775,-2.4034267534645988,0.6684599075302782,-60.0
left,9.205927808,1787652119827435904,1787652119827240652,7366,0.195252,-0.2347106057740926,-2.3301947509927112,29.11336294083076,-7.016521514594187,-2.4116469753075656,0.6854717861330013,-50.0
left,9.215927808,1787652119837435904,1787652119836956026,7373,0.479878,-0.23419789866656757,-2.3293286993316733,28.761198640122878,-7.0170990042677825,-2.408683549086284,0.6748620342816913,-40.0
left,9.225927808,1787652119847435904,1787652119846939135,7380,0.496769,-0.22625382824485205,-1.90316882635936,28.83949339459308,-7.008776967244112,-2.401683556424895,0.6629250953619295,-30.0
left,9.235927808,1787652119857435904,1787652119857343701,7390,0.092203,-0.26419053890237015,-1.9363151071822506,28.871277164492312,-7.00777144040465,-2.4013516950869436,0.6603457565578641,-20.0
left,9.245927808,1787652119867435904,1787652119866889958,7398,0.545946,-0.25294348589493515,-1.9829446414657608,28.894424631669427,-7.005979380261504,-2.399755359387833,0.6555797707668305,-10.0
left,9.255927808,1787652119877435904,1787652119876876016,7404,0.559888,-0.2507478221578745,-2.0786538084576858,28.96956805489817,-7.000600564067081,-2.3975976742371348,0.6534069733508721,0.0
right,9.155927808,1787652119777435904,1787652119776912930,7324,0.522974,-27.88248024265406,-11.707570541956978,-14.104658781480707,2.8218611753442264,-3.9006930949081524,-1.4236257119888225,-100.0
right,9.165927808,1787652119787435904,1787652119786965992,7333,0.469912,-28.711721219892507,-11.545298608994397,-14.395791991119724,2.880801505466242,-3.9733056738169976,-1.4442577586693375,-90.0
right,9.175927808,1787652119797435904,1787652119797072748,7341,0.363156,-26.970992455371643,-10.884078089850977,-14.353960919201677,2.7799667356396935,-3.7480198655704924,-1.383725129627867,-80.0
right,9.185927808,1787652119807435904,1787652119806938941,7349,0.496963,-24.142228791228042,-9.822315511254777,-12.368343176138715,2.627122145031671,-3.4350895573938267,-1.3006123344388036,-70.0
right,9.195927808,1787652119817435904,1787652119816953155,7357,0.482749,-21.59415931392323,-8.89822171102987,-10.725098714662266,2.439946706078107,-3.0761283601921514,-1.2012939527203828,-60.0
right,9.205927808,1787652119827435904,1787652119827153232,7364,0.282672,-21.432163055614925,-9.020764037714828,-11.07081042760796,2.419199315519027,-3.014449542108289,-1.1855264573239228,-50.0
right,9.215927808,1787652119837435904,1787652119836899455,7372,0.536449,-24.221138128340126,-10.389880457875705,-11.855874002180768,2.6276705818029784,-3.324631847831643,-1.2692571237793495,-40.0
right,9.225927808,1787652119847435904,1787652119846872490,7381,0.563414,-27.296706874979435,-11.317061446228998,-13.743293124493293,2.8404383198345653,-3.641164403479172,-1.3561795370716703,-30.0
right,9.235927808,1787652119857435904,1787652119857180288,7388,0.255616,-29.62644777596366,-12.114436591370485,-15.338336967559474,3.0250148571791526,-3.9221337479556655,-1.434221002111339,-20.0
right,9.245927808,1787652119867435904,1787652119866831346,7396,0.604558,-31.097064613482022,-14.13519851631145,-16.07148277655043,3.206586084115137,-4.163415713923833,-1.5043902462859742,-10.0
right,9.255927808,1787652119877435904,1787652119876815863,7405,0.620041,-30.64473542517244,-14.602304550924648,-15.698120687303504,3.231494378230861,-4.151429957133593,-1.5045138978865331,0.0
