arm,time_s,target_timestamp_ns,source_timestamp_ns,source_index,age_ms,fx,fy,fz,tx,ty,tz,time_offset_ms
arm,8.208403108,21380053175392,21380046234337,1405,6.941055,13.269967257273347,-2.825015510299149,0.23631117691229941,0.09056357084151001,1.0701137973342796,-0.8828448571998323,-100.0
arm,8.218403108,21380063175392,21380053275125,1406,9.900267,13.530898053926169,-2.8118889643926073,0.3021753105524847,0.08275093848553686,1.110836995130297,-0.8776321839528013,-90.0
arm,8.228403108,21380073175392,21380072166814,1409,1.008578,13.217249577310582,-2.767031442667704,0.6359197127484034,0.03337188433864095,0.8777172795141852,-0.8668446700183008,-80.0
arm,8.238403108,21380083175392,21380079266426,1411,3.908966,13.458305827990515,-2.7361452239239474,0.3426277650280169,-0.0012936004764548684,1.0523903430894208,-0.8598203054198627,-70.0
arm,8.248403108,21380093175392,21380091175669,1412,1.999723,13.825270753253323,-2.7666447354496198,0.03142628792156079,0.013494468232775475,1.2719863394240092,-0.8672118494409765,-60.0
arm,8.258403108,21380103175392,21380100123800,1413,3.051592,14.039085989273733,-2.75070594366868,0.08956624006333112,0.00767121252917514,1.305317714839254,-0.8608293291497677,-50.0
arm,8.268403108,21380113175392,21380109426013,1416,3.749379,13.213895757576015,-2.6866309503535204,1.0838758901217485,-0.024858039713192337,0.67736463132969,-0.8461101438796831,-40.0
arm,8.278403108,21380123175392,21380115146746,1417,8.028646,13.440486114639638,-2.714987093898178,0.7478861745984066,-0.0174500947183284,0.8679426978448067,-0.8585590496142523,-30.0
arm,8.288403108,21380133175392,21380130226723,1418,2.948669,13.961534337865794,-2.7722329819566824,0.18899446833240624,0.016380904516624134,1.2278814638374707,-0.8732794416612798,-20.0
arm,8.298403108,21380143175392,21380138624354,1421,4.551038,13.683467219972808,-2.715116139007546,0.9724908731697456,0.009931417512295667,0.8343982452368391,-0.8484493620796473,-10.0
arm,8.308403108,21380153175392,21380153175392,1423,0.0,14.060839807843811,-2.768581326556117,0.42033085973204853,0.03056105429729947,1.1486981298784733,-0.8677877048647259,0.0
