arm,time_s,target_timestamp_ns,source_timestamp_ns,source_index,age_ms,fx,fy,fz,tx,ty,tz,time_offset_ms
arm,14.469927635,21386314699919,21386311457789,2477,3.24213,5.051496948564281,-0.24070136876075404,2.0318286341508625,-0.45364407763844544,1.5505659783285148,-0.5240424738124018,-100.0
arm,14.479927635,21386324699919,21386324084513,2479,0.615406,4.838302759289702,-0.14344011948369728,2.1194362569593013,-0.48762929693992435,1.4218183490150444,-0.4669237519533067,-90.0
arm,14.489927635,21386334699919,21386329780043,2480,4.919876,4.912329887343731,-0.16460830754330957,2.0016107490851307,-0.48476678318481575,1.5069105695894935,-0.4821066776880539,-80.0
arm,14.499927635,21386344699919,21386341812655,2482,2.887264,4.9989646560154215,-0.18373615635837343,1.8361805188189664,-0.4784834624601543,1.6193633745248315,-0.4897690527744595,-70.0
arm,14.509927635,21386354699919,21386351079490,2483,3.620429,5.049474492571874,-0.21454240722722454,1.8505470112804479,-0.4692707821226846,1.6349733951141403,-0.5093178877437181,-60.0
arm,14.519927635,21386364699919,21386364196277,2486,0.503642,5.166774063322511,-0.1388468388847099,1.745047331284549,-0.497687835202508,1.7407646974122177,-0.468405411684025,-50.0
arm,14.529927635,21386374699919,21386370430508,2487,4.269411,5.210693548464522,-0.12734943195751855,1.7055860455724638,-0.5025268699578427,1.7805371152647655,-0.46193259078252275,-40.0
arm,14.539927635,21386384699919,21386375681428,2488,9.018491,5.297995719293983,-0.13039589430474088,1.6725364543489734,-0.4985321672410688,1.832472412722533,-0.46089287600452683,-30.0
arm,14.549927635,21386394699919,21386387325911,2490,7.374008,5.393939403664781,-0.12306341259517095,1.6481017645538871,-0.5010115626012485,1.8786869910051602,-0.45802515996264054,-20.0
arm,14.559927635,21386404699919,21386399010175,2492,5.689744,5.426461470363439,-0.23153069181771047,1.5322104491161346,-0.46194419668732617,1.9449103167094208,-0.514448881641373,-10.0
arm,14.569927635,21386414699919,21386414699919,2494,0.0,5.473762546768807,-0.09413711467269292,1.4560421267385555,-0.511193003513824,1.9994545289305055,-0.4380176401555118,0.0
